Crawled 2501 URLs
Broken: 1225
  HTTPError http://localhost:7777/images/blog/404-error-seo-impact-stats.webp
  HTTPError http://localhost:7777/images/blog/404-vs-soft-404-vs-410-comparison.webp
  HTTPError http://localhost:7777/images/blog/404-error-decision-framework.webp
  HTTPError http://localhost:7777/images/blog/404-custom-page-checklist.webp
  HTTPError http://localhost:7777/images/blog/404-error-ai-search-rates.webp
  HTTPError http://localhost:7777/images/blog/ai-agent-adoption-stats-overview.webp
  HTTPError http://localhost:7777/images/blog/agency-pricing-models-comparison-8-models.png
  HTTPError http://localhost:7777/images/blog/ai-agent-enterprise-adoption-gap.webp
  HTTPError http://localhost:7777/images/blog/ai-agent-roi-statistics.webp
  HTTPError http://localhost:7777/images/blog/agency-project-pricing-formula.png
  HTTPError http://localhost:7777/images/blog/ai-agent-adoption-by-industry.webp
  HTTPError http://localhost:7777/images/blog/agency-hybrid-pricing-models.png
  HTTPError http://localhost:7777/images/blog/ai-agent-implementation-challenges.webp
  HTTPError http://localhost:7777/images/blog/agency-base-cost-formula.png
  HTTPError http://localhost:7777/images/blog/agency-service-tier-framework.png
  HTTPError http://localhost:7777/images/blog/ai-agent-future-projections.webp
  HTTPError http://localhost:7777/images/blog/agency-pricing-mistakes-fixes.png
  HTTPError http://localhost:7777/images/blog/seo-roi-statistics-2026-overview.webp
  HTTPError http://localhost:7777/images/blog/content-scaling-7-step-system.webp
  HTTPError http://localhost:7777/images/blog/eeat-blogs-four-pillars.webp
  HTTPError http://localhost:7777/images/blog/content-output-volume-statistics.webp
  HTTPError http://localhost:7777/images/blog/seo-roi-by-industry-2026.webp
  HTTPError http://localhost:7777/images/blog/seo-kpis-selection-framework.webp
  HTTPError http://localhost:7777/images/blog/eeat-blogs-experience-signals.webp
  HTTPError http://localhost:7777/images/blog/seo-kpis-categories-overview.webp
  HTTPError http://localhost:7777/images/blog/content-brief-checklist-scaling.webp
  HTTPError http://localhost:7777/images/blog/ai-detection-accuracy-rates.webp
  HTTPError http://localhost:7777/images/blog/eeat-blogs-niche-requirements.webp
  HTTPError http://localhost:7777/images/blog/service-business-seo-statistics.webp
  HTTPError http://localhost:7777/images/blog/content-repurposing-framework-5x.webp
  HTTPError http://localhost:7777/images/blog/seo-team-audit-checklist.webp
  HTTPError http://localhost:7777/images/blog/content-audit-8-steps.webp
  HTTPError http://localhost:7777/images/blog/service-business-gbp-checklist.webp
  HTTPError http://localhost:7777/images/blog/weekly-content-sprint-schedule.webp
  HTTPError http://localhost:7777/images/blog/seo-team-roles-salaries.webp
  HTTPError http://localhost:7777/images/blog/content-audit-metrics.webp
  HTTPError http://localhost:7777/images/blog/seo-kpis-benchmarks-2026.webp
  HTTPError http://localhost:7777/images/blog/service-pages-vs-location-pages.webp
  HTTPError http://localhost:7777/images/blog/content-quality-metrics-scale.webp
  HTTPError http://localhost:7777/images/blog/seo-kpis-authority-metrics.webp
  HTTPError http://localhost:7777/images/blog/content-audit-scoring-framework.webp
  HTTPError http://localhost:7777/images/blog/service-business-content-types.webp
  HTTPError http://localhost:7777/images/blog/seo-team-models-compared.webp
  HTTPError http://localhost:7777/images/blog/seo-kpis-ai-search-era.webp
  HTTPError http://localhost:7777/images/blog/content-output-before-after-scaling.webp
  HTTPError http://localhost:7777/images/blog/service-business-seo-timeline.webp
  HTTPError http://localhost:7777/images/blog/seo-team-skills-matrix.webp
  HTTPError http://localhost:7777/images/blog/seo-kpis-dashboard-structure.webp
  HTTPError http://localhost:7777/images/blog/service-business-seo-mistakes.webp
  HTTPError http://localhost:7777/images/blog/seo-team-workflow-pipeline.webp
